id,name,aliases,category,serving_g,kcal_per_100g,kcal_per_serving,source,source_url,confidence,locale
vn-dish-075,Cơm rau xào đậu hũ,com rau xao dau hu,Cơm,400,125.0,500,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-076,Bánh mì không,banh mi khong,Bánh mì & bánh mặn,90,266.67,240,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-077,Bánh mì thịt,banh mi thit,Bánh mì & bánh mặn,170,241.18,410,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-078,Bánh mì thịt nướng,banh mi thit nuong,Bánh mì & bánh mặn,180,244.44,440,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-079,Bánh mì xíu mại,banh mi xiu mai,Bánh mì & bánh mặn,180,244.44,440,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-080,Bánh mì chả lụa,banh mi cha lua,Bánh mì & bánh mặn,170,235.29,400,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-081,Bánh mì pate,banh mi pate,Bánh mì & bánh mặn,160,256.25,410,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-082,Bánh mì trứng,banh mi trung,Bánh mì & bánh mặn,160,237.5,380,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-083,Bánh mì ốp la,banh mi op la,Bánh mì & bánh mặn,200,220.0,440,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-084,Bánh mì cá,banh mi ca,Bánh mì & bánh mặn,170,223.53,380,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-085,Bánh mì gà xé,banh mi ga xe,Bánh mì & bánh mặn,170,217.65,370,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-086,Bánh mì heo quay,banh mi heo quay,Bánh mì & bánh mặn,180,250.0,450,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-087,Bánh mì chả cá,banh mi cha ca,Bánh mì & bánh mặn,180,222.22,400,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-088,Bánh mì xá xíu,banh mi xa xiu,Bánh mì & bánh mặn,180,250.0,450,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-089,Bánh mì bơ đường,banh mi bo duong,Bánh mì & bánh mặn,120,333.33,400,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-090,Bánh mì phô mai,banh mi pho mai,Bánh mì & bánh mặn,130,323.08,420,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-091,Bánh bao nhân thịt,banh bao thit;banh bao nhan thit,Bánh mì & bánh mặn,120,216.67,260,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-092,Bánh bao xá xíu,banh bao xa xiu,Bánh mì & bánh mặn,120,233.33,280,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-093,Bánh bao kim sa,banh bao kim sa,Bánh mì & bánh mặn,90,277.78,250,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-094,Bánh giò,banh gio,Bánh mì & bánh mặn,150,213.33,320,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-095,Bánh cuốn nhân thịt,banh cuon thit;banh cuon nhan thit,Bánh mì & bánh mặn,300,106.67,320,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-096,Bánh cuốn trứng,banh cuon trung,Bánh mì & bánh mặn,300,110.0,330,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-097,Bánh ướt thịt nướng,banh uot thit nuong,Bánh mì & bánh mặn,350,134.29,470,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-098,Bánh hỏi heo quay,banh hoi heo quay,Bánh mì & bánh mặn,450,180.0,810,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-099,Bánh hỏi thịt nướng,banh hoi thit nuong,Bánh mì & bánh mặn,450,168.89,760,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-100,Bánh xèo tôm thịt,banh xeo tom thit,Bánh mì & bánh mặn,300,210.0,630,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-101,Bánh khọt,banh khot,Bánh mì & bánh mặn,250,220.0,550,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-102,Bánh căn trứng,banh can trung,Bánh mì & bánh mặn,250,192.0,480,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-103,Bánh căn hải sản,banh can hai san,Bánh mì & bánh mặn,250,196.0,490,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-104,Bánh bèo,banh beo,Bánh mì & bánh mặn,250,144.0,360,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-105,Bánh nậm,banh nam,Bánh mì & bánh mặn,200,145.0,290,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-106,Bánh bột lọc,banh bot loc,Bánh mì & bánh mặn,250,168.0,420,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-107,Bánh ít trần,banh it tran,Bánh mì & bánh mặn,150,180.0,270,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-108,Bánh đúc nóng,banh duc nong,Bánh mì & bánh mặn,350,120.0,420,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-109,Gỏi cuốn tôm thịt,goi cuon tom thit,Đồ ăn vặt & chiên,150,106.67,160,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-110,Gỏi cuốn thịt,goi cuon thit,Đồ ăn vặt & chiên,150,106.67,160,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-111,Gỏi cuốn chay,goi cuon chay,Đồ ăn vặt & chiên,150,80.0,120,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-112,Chả giò chiên,cha gio chien,Đồ ăn vặt & chiên,150,300.0,450,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-113,Chả giò 4 cái,cha gio 4 cai,Đồ ăn vặt & chiên,160,300.0,480,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-114,Nem nướng cuốn bánh tráng,nem nuong cuon;nem nuong cuon banh trang,Đồ ăn vặt & chiên,250,176.0,440,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-115,Bánh tráng trộn,banh trang tron,Đồ ăn vặt & chiên,250,220.0,550,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-116,Bánh tráng cuốn,banh trang cuon,Đồ ăn vặt & chiên,200,200.0,400,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-117,Bánh tráng nướng,banh trang nuong,Đồ ăn vặt & chiên,180,238.89,430,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-118,Bánh tráng sốt bơ,banh trang sot bo,Đồ ăn vặt & chiên,180,250.0,450,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-119,Cá viên chiên,ca vien chien,Đồ ăn vặt & chiên,150,226.67,340,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-120,Bò viên chiên,bo vien chien,Đồ ăn vặt & chiên,150,246.67,370,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-121,Xúc xích chiên,xuc xich chien,Đồ ăn vặt & chiên,100,300.0,300,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-122,Khoai tây chiên,khoai tay chien,Đồ ăn vặt & chiên,150,306.67,460,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-123,Khoai lang chiên,khoai lang chien,Đồ ăn vặt & chiên,150,300.0,450,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-124,Khoai tây lắc phô mai,khoai tay lac pho mai,Đồ ăn vặt & chiên,180,327.78,590,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-125,Gà rán 1 miếng,ga ran 1 mieng,Đồ ăn vặt & chiên,120,283.33,340,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-126,Gà rán 2 miếng,ga ran 2 mieng,Đồ ăn vặt & chiên,240,279.17,670,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-127,Cánh gà chiên,canh ga chien,Đồ ăn vặt & chiên,150,266.67,400,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-128,Đùi gà chiên,dui ga chien,Đồ ăn vặt & chiên,180,266.67,480,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-129,Gà popcorn,ga popcorn,Đồ ăn vặt & chiên,150,293.33,440,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-130,Gà sốt cay,ga sot cay,Đồ ăn vặt & chiên,200,275.0,550,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-131,Tôm chiên xù,tom chien xu,Đồ ăn vặt & chiên,160,262.5,420,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-132,Mực chiên giòn,muc chien gion,Đồ ăn vặt & chiên,170,247.06,420,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-133,Đậu hũ chiên,dau hu chien,Đồ ăn vặt & chiên,150,220.0,330,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-134,Đậu hũ sốt,dau hu sot,Đồ ăn vặt & chiên,250,144.0,360,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-135,Chả cá chiên,cha ca chien,Đồ ăn vặt & chiên,150,226.67,340,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-136,Xôi chiên,xoi chien,Đồ ăn vặt & chiên,180,277.78,500,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-137,Bắp xào,bap xao,Đồ ăn vặt & chiên,250,156.0,390,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-138,Trứng cút lộn xào me,trung cut lon xao me,Đồ ăn vặt & chiên,180,177.78,320,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-139,Trứng cút luộc 10 quả,trung cut 10 qua;trung cut luoc 10 qua,Đồ ăn vặt & chiên,90,155.56,140,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-140,Lẩu thái hải sản 1 người,lau thai hai san;lau thai hai san 1 nguoi,Lẩu & món canh,600,105.0,630,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-141,Lẩu bò 1 người,lau bo;lau bo 1 nguoi,Lẩu & món canh,600,115.0,690,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-142,Lẩu gà 1 người,lau ga;lau ga 1 nguoi,Lẩu & món canh,600,95.0,570,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-143,Lẩu nấm chay 1 người,lau nam chay;lau nam chay 1 nguoi,Lẩu & món canh,550,65.45,360,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-144,Canh chua cá,canh chua ca,Lẩu & món canh,400,55.0,220,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-145,Canh chua tôm,canh chua tom,Lẩu & món canh,400,60.0,240,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-146,Canh rau ngót thịt băm,canh rau ngot thit;canh rau ngot thit bam,Lẩu & món canh,350,65.71,230,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-147,Canh bí đỏ thịt bằm,canh bi do thit;canh bi do thit bam,Lẩu & món canh,350,74.29,260,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-148,Canh cải thịt băm,canh cai thit;canh cai thit bam,Lẩu & món canh,350,60.0,210,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-149,Canh khổ qua nhồi thịt,canh kho qua;canh kho qua nhoi thit,Lẩu & món canh,400,75.0,300,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-150,Canh mướp nấu hến,canh muop hen;canh muop nau hen,Lẩu & món canh,350,45.71,160,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-151,Canh rong biển thịt bằm,canh rong bien;canh rong bien thit bam,Lẩu & món canh,350,51.43,180,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-152,Canh bí xanh tôm,canh bi xanh tom,Lẩu & món canh,350,51.43,180,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-153,Canh chua nghêu,canh chua ngheu,Lẩu & món canh,400,55.0,220,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-154,Cháo lòng,chao long,Ăn sáng truyền thống,450,95.56,430,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-155,Cháo sườn,chao suon,Ăn sáng truyền thống,450,88.89,400,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-156,Cháo gà,chao ga,Ăn sáng truyền thống,450,84.44,380,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-157,Cháo thịt bằm,chao thit bam,Ăn sáng truyền thống,450,80.0,360,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-158,Cháo cá,chao ca,Ăn sáng truyền thống,450,82.22,370,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-159,Cháo hải sản,chao hai san,Ăn sáng truyền thống,450,88.89,400,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-160,Xôi gà,xoi ga,Ăn sáng truyền thống,300,210.0,630,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-161,Xôi mặn,xoi man,Ăn sáng truyền thống,300,220.0,660,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-162,Xôi xéo,xoi xeo,Ăn sáng truyền thống,250,220.0,550,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-163,Xôi đậu xanh,xoi dau xanh,Ăn sáng truyền thống,250,196.0,490,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-164,Xôi đậu phộng,xoi dau phong,Ăn sáng truyền thống,250,204.0,510,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-165,Xôi bắp,xoi bap,Ăn sáng truyền thống,250,192.0,480,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-166,Bánh mì + 1 trứng ốp la,banh mi trung op la;banh mi 1 trung op la,Ăn sáng truyền thống,180,227.78,410,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-167,Bánh mì + 2 trứng ốp la,banh mi 2 trung;banh mi 2 trung op la,Ăn sáng truyền thống,230,230.43,530,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-168,Cơm chay thập cẩm,com chay thap cam,Đồ chay,400,125.0,500,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-169,Bún chay,bun chay,Đồ chay,450,84.44,380,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-170,Phở chay,pho chay,Đồ chay,500,72.0,360,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-171,Miến chay,mien chay,Đồ chay,450,80.0,360,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-172,Hủ tiếu chay,hu tieu chay,Đồ chay,450,80.0,360,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-173,Bún Huế chay,bun hue chay,Đồ chay,500,80.0,400,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-174,Đậu hũ sốt cà chua,dau hu sot ca;dau hu sot ca chua,Đồ chay,250,120.0,300,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-175,Đậu hũ kho,dau hu kho,Đồ chay,250,136.0,340,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-176,Đậu hũ sả ớt,dau hu sa ot,Đồ chay,250,156.0,390,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-177,Nấm xào,nam xao,Đồ chay,250,88.0,220,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-178,Rau củ xào,rau cu xao,Đồ chay,300,73.33,220,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-179,Nấm kho tiêu,nam kho tieu,Đồ chay,250,104.0,260,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-180,Mì căn xào,mi can xao,Đồ chay,250,160.0,400,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-181,Chả giò chay,cha gio chay,Đồ chay,150,260.0,390,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-182,Gỏi cuốn chay sốt mè,goi cuon chay me;goi cuon chay sot me,Đồ chay,180,122.22,220,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-183,Chè đậu đỏ,che dau do,Tráng miệng & chè,250,152.0,380,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-184,Chè đậu đen,che dau den,Tráng miệng & chè,250,144.0,360,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-185,Chè đậu xanh,che dau xanh,Tráng miệng & chè,250,152.0,380,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-186,Chè bà ba,che ba ba,Tráng miệng & chè,300,160.0,480,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-187,Chè thái,che thai,Tráng miệng & chè,350,174.29,610,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-188,Chè khúc bạch,che khuc bach,Tráng miệng & chè,300,166.67,500,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-189,Chè sương sa hạt lựu,che suong sa hat luu,Tráng miệng & chè,300,146.67,440,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-190,Chè bưởi,che buoi,Tráng miệng & chè,300,150.0,450,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-191,Chè chuối,che chuoi,Tráng miệng & chè,300,160.0,480,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-192,Chè khoai dẻo,che khoai deo,Tráng miệng & chè,300,166.67,500,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-193,Tàu hũ nước đường,tau hu nuoc duong,Tráng miệng & chè,250,96.0,240,IVS Vietnam calorie dataset,,estimated,vi-VN
